WKT,id_techo,tipo_edifi,tipo_techo,edificio,direccion,tipo_siste,capacidad,caracteris,proveedor,fecha_inst,link,foto,calle,altura,calle2,direccion_,barrio,comuna,energia_an_kwh,mitig_an_tCO2eq,energia_acum_kwh,mitig_acum_tCO2eq
POINT (-58.3813962217307 -34.6049659872256),35,Público,Solar Fotovoltaico,Metrobus,9 de Julio y Sarmiento,On-Grid,78720 Wp,328 modulos de 240 watts cada uno; 2 inversores SMA Webconnect; Inclinacion:0; Acimut:0,Sustentator,2017,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?plant=3f4635e8-a2ad-46fc-9d89-f5686b77f77f&splang=,repok/static/techosinteligentes/techos_amarillos_40.jpg,Av 9 de Julio,,Sarmiento,9 DE JULIO AV. y SARMIENTO,San Nicolas,Comuna 1,120997,54.45,483988,217.79
POINT (-58.492797687892 -34.5509613466761),37,Privado,Solar Fotovoltaico,Particular,-,On-Grid,5220 Wp,,ALDAR S.A.,2016,,,Machain,,Arias,"MACHAIN y ARIAS, CABA",SAAVEDRA,Comuna 12,8091,3.64,40455,18.20
POINT (-58.4752108665949 -34.6449679199162),38,Público,Solar Fotovoltaico,Autopistas Urbanas S.A.,Av. Francisco Bilbao 4001,On-Grid,139320 Wp,"516 modulos de 270 watts cada uno;"" 8 Inversores",LV-Energy S.A.,2017,,repok/static/techosinteligentes/techos_amarillos_42.jpg,Francisco Bilbao,,av lacarra,"BILBAO  FRANCISCO AV. y LACARRA AV.""""",Parque Avellaneda,Comuna 9,215623,97.03,862492,388.12
POINT (-58.4675106860609 -34.6529236375017),39,Público,Solar Fotovoltaico,Autopistas Urbanas S.A.,Dellepiane Sur 3750,On-Grid,22680 Wp,"84 modulos de 270 watts cada uno;"" 1 inversor",LV-Energy S.A.,2017,,,Dellepiane,,Fernandez,DELLEPIANE Luis,Parque Avellaneda,Comuna 9,35678,16.06,142712,64.22
POINT (-58.368718817185 -34.5841518076027),40,Público,Solar Fotovoltaico,Administración General de Puertos SE,Av. de los Inmigrantes y Av. Castillo - Acceso Maipu,On-Grid,5940 Wp,"22 modulos de 270 watts cada uno;"" 1 inversor",ALP Group,2017,,repok/static/techosinteligentes/techos_amarillos_45.jpg,Av. de los Inmigrantes,,Av. Castillo,DE LOS INMIGRANTES AV. y CASTILLO Ramon R.,Retiro,Comuna 1,9307,4.19,37228,16.75
POINT (-58.4668993480668 -34.6638263205093),41,Público,Solar Fotovoltaico,CIFA,Av Escalada y Av Castañares,On-Grid,18000 Wp,- INSTALACION SOLAR FOTOVOLTAICA CON PANELES DE CAPA DELGADA - INVERSOR: Schneider Conext CL 20000 ; Potencia unitaria: 20 kW ; Cantidad: 1;  Potencia total: 20 kW; PANELES:  Global Solar Energy FG-1BTM-300 ; Tipo de panel: Pelicula Delgada; Potencia unit,COVEMA,2017,,repok/static/techosinteligentes/techos_amarillos_46.jpg,av. escalada,,Av. Castañares,ESCALADA AV. y CASTAÑARES AV.,Villa Soldati,Comuna 8,27922,12.56,111688,50.26
POINT (-58.4789220585744 -34.5670254657315),42,Público,Solar Térmico,Escuela SXXI,Holmberg y Dr. Pedro Rivera,,,,,2017,,repok/static/techosinteligentes/techos_amarillos_47.jpg,Holmberg ,,Dr. Pedro Rivera,"HOLMBERG y RIVERA, PEDRO I., DR.",Villa Urquiza,Comuna 12,0,0.00,0,0.00
POINT (-58.4922888268549 -34.6215538059937),43,Público,Solar Fotovoltaico,"Escuela Primaria Común N°10 D.E 12 ""Coronel de marina Leonardo Rosales""",Mercedes 1405,On-Grid,46500 Wp,Boletín Oficial,,2020,,,Mercedes,1405,,MERCEDES 1405,Floresta,Comuna 10,72075,32.43,72075,32.43
POINT (-58.4045911334454 -34.6256894950661),44,Público,Solar Fotovoltaico,escuela n11,,,,no está corroborado,,2020,,,cochabamba,2830,,COCHABAMBA 2830,San Cristobal,Comuna 3,0,0.00,0,0.00
POINT (-58.4212379369673 -34.5869636872331),45,Público,Solar Fotovoltaico,Escuela n7,,,,a corroborar,,2020,,,malabia,,Paraguay,MALABIA y PARAGUAY,Palermo,Comuna 14,0,0.00,0,0.00
